% Version 1.00
%
%freq[Hz],Trc1_S11[dB],Trc2_S21[dB],Trc3_S12[dB],Trc4_S22[dB],
6.007500000000000E+009,-3.839215006834837E+001,-5.562637506507771E-002,-6.898361361365445E-002,-4.218241509211408E+001,
6.127450000000000E+009,-4.457166436032846E+001,-5.643544642003648E-002,-5.931824197446890E-002,-4.015300879245756E+001,
6.247400000000000E+009,-4.836343221328549E+001,-4.937090031818852E-002,-5.151822944732785E-002,-3.878667076263498E+001,
6.367350000000000E+009,-3.842374896998976E+001,-4.602368416278201E-002,-5.179049837582002E-002,-3.562965701707775E+001,
6.487300000000000E+009,-3.571601054475389E+001,-4.097247805501807E-002,-4.981386632294046E-002,-3.536198232227390E+001,
6.607250000000000E+009,-3.348851592824144E+001,-3.689638331963120E-002,-4.532380549599794E-002,-3.467502822916226E+001,
6.727200000000000E+009,-3.316238162046510E+001,-3.903209226281459E-002,-4.075884947285167E-002,-3.542354225471466E+001,
6.847150000000000E+009,-3.313857664971974E+001,-4.662413338002976E-002,-5.359617057730116E-002,-3.674077567136128E+001,
6.967100000000000E+009,-3.484514741432532E+001,-4.768091772097077E-002,-5.022004336853522E-002,-4.014636126450473E+001,
7.087050000000000E+009,-3.680086549602231E+001,-5.629051225971333E-002,-4.989126628416662E-002,-4.330358540024764E+001,
7.207000000000000E+009,-4.006575839927812E+001,-6.396607682948959E-002,-6.300962846977438E-002,-4.704080701734848E+001,
7.326950000000000E+009,-4.378397396306811E+001,-6.953051008338551E-002,-6.055219753207318E-002,-4.722182270338097E+001,
7.446900000000000E+009,-4.596605634130182E+001,-6.448109208507018E-002,-5.723977476267326E-002,-4.392059940275865E+001,
7.566850000000000E+009,-4.532306346872560E+001,-5.759548087446302E-002,-6.310692322357528E-002,-4.244830057623828E+001,
7.686800000000000E+009,-4.007303885744970E+001,-5.462195499503563E-002,-6.494406292179875E-002,-4.049226198975702E+001,
7.806750000000000E+009,-3.759350321580261E+001,-5.764560479910331E-002,-7.107578873125330E-002,-3.981751331896609E+001,
7.926700000000000E+009,-3.530360391285468E+001,-6.692741696911635E-002,-6.701463674120373E-002,-3.962360917928547E+001,
8.046650000000000E+009,-3.418269218160467E+001,-7.517801889900115E-002,-7.272723654510695E-002,-4.049328450322808E+001,
8.166600000000000E+009,-3.312212506224140E+001,-6.865871023852330E-002,-7.072863771503357E-002,-4.035950093692509E+001,
8.286550000000000E+009,-3.259245536912538E+001,-6.627928268085578E-002,-5.921216038734194E-002,-4.125746318634344E+001,
8.406500000000000E+009,-3.313137529654585E+001,-5.268892138019972E-002,-5.377304436953295E-002,-4.225045797740594E+001,
8.526450000000000E+009,-3.469223342516997E+001,-5.478029116380765E-002,-5.090300594504078E-002,-4.319255474210795E+001,
8.646400000000000E+009,-3.717880960588445E+001,-4.937567639853206E-002,-5.455032200809894E-002,-4.376140534660769E+001,
8.766350000000000E+009,-4.035329293554370E+001,-6.006137381832420E-002,-6.428670656013172E-002,-4.413574341469302E+001,
8.886300000000000E+009,-4.201999008083614E+001,-5.680431964610631E-002,-6.017180091110919E-002,-4.155601101211447E+001,
9.006250000000000E+009,-3.826662599720151E+001,-5.457875146414105E-002,-4.418484506194504E-002,-3.960980132735842E+001,
9.126200000000000E+009,-3.488539717241481E+001,-4.352084067177509E-002,-2.762950483305881E-002,-3.848924636605565E+001,
9.246150000000000E+009,-3.203392482766789E+001,-2.492507091259228E-002,-1.048814992413851E-002,-3.792964785453250E+001,
9.366100000000000E+009,-3.119334142326446E+001,-1.533910952631994E-002,-2.495931449926644E-003,-3.834939344998047E+001,
9.486050000000000E+009,-3.056127587571955E+001,-1.447919793211172E-002,-1.914833264423519E-002,-3.887568186293242E+001,
9.606000000000000E+009,-3.068768377100207E+001,-2.726565928238576E-002,-2.573894519322819E-002,-4.022513114984366E+001,
9.725950000000000E+009,-3.219098653552000E+001,-4.539078667820867E-002,-5.471608813816455E-002,-4.112426651556849E+001,
9.845900000000000E+009,-3.400274385208745E+001,-6.631789985472582E-002,-7.623321871411093E-002,-4.083613412480444E+001,
9.965850000000000E+009,-3.774020148177436E+001,-7.727339648989556E-002,-8.007899108084053E-002,-3.865637476097496E+001,
1.008580000000000E+010,-4.581088613221232E+001,-7.597309972698838E-002,-8.861048637580875E-002,-3.697620766753747E+001,
1.020575000000000E+010,-4.103388934616475E+001,-6.638404981916829E-002,-7.011912029046420E-002,-3.557673848670734E+001,
1.032570000000000E+010,-3.596804276923076E+001,-4.975467287427324E-002,-4.801493349105214E-002,-3.453860558715230E+001,
1.044565000000000E+010,-3.201460858556511E+001,-4.843981494860517E-002,-5.713260209332682E-002,-3.393820727850231E+001,
1.056560000000000E+010,-3.022904998857878E+001,-5.795384179012497E-002,-4.717558973648556E-002,-3.298211166822292E+001,
1.068555000000000E+010,-2.881586717910744E+001,-5.145781827421517E-002,-6.534245442676873E-002,-3.364021060335936E+001,
1.080550000000000E+010,-2.851880973366568E+001,-5.237200304031216E-002,-7.897732907015870E-002,-3.370384410190310E+001,
1.092545000000000E+010,-2.939397472647309E+001,-5.585126055992813E-002,-7.578601852181209E-002,-3.382795859946828E+001,
1.104540000000000E+010,-3.017773806986624E+001,-5.527105488444783E-002,-7.237933829475324E-002,-3.360548544973951E+001,
1.116535000000000E+010,-3.328419590106726E+001,-5.736463777274392E-002,-5.027165102973927E-002,-3.346669181405180E+001,
1.128530000000000E+010,-3.742708264540729E+001,-5.577571149643912E-002,-3.176353437534236E-002,-3.187994560559512E+001,
1.140525000000000E+010,-4.916535190184843E+001,-5.506293088051285E-002,-3.951919910356665E-002,-3.082636274509016E+001,
1.152520000000000E+010,-3.935659650009890E+001,-7.154086053930503E-002,-5.189247527344403E-002,-3.045668549885621E+001,
1.164515000000000E+010,-3.323294410978877E+001,-8.314752806578603E-002,-8.890173727995579E-002,-3.004762445507576E+001,
1.176510000000000E+010,-3.040452054927474E+001,-9.368600119122454E-002,-1.007159577098738E-001,-3.030177348317492E+001,
1.188505000000000E+010,-2.876654986678000E+001,-9.375778915190421E-002,-1.059505649132065E-001,-3.099880071632968E+001,
1.200500000000000E+010,-2.827031166112275E+001,-8.565657225457497E-002,-9.276572838799015E-002,-3.151019293070052E+001,
1.212495000000000E+010,-2.857639212095380E+001,-6.111733539910833E-002,-6.397772743392111E-002,-3.223653270465177E+001,
1.224490000000000E+010,-2.962136494637747E+001,-4.489837210851667E-002,-4.712703350175295E-002,-3.221937341958858E+001,
1.236485000000000E+010,-3.216993310843209E+001,-3.370454323820975E-002,-3.809456544949396E-002,-3.182592661636095E+001,
1.248480000000000E+010,-3.557287485273920E+001,-2.934033887832860E-002,-2.504825947941105E-002,-3.036019142582777E+001,
1.260475000000000E+010,-4.163714166109239E+001,-3.154123866885517E-002,-5.235226458249791E-002,-3.014652499981561E+001,
1.272470000000000E+010,-4.681197850594476E+001,-4.144043581102266E-002,-5.865973088655679E-002,-2.967508265730912E+001,
1.284465000000000E+010,-3.533598545257026E+001,-4.310337485204993E-002,-8.302391527705968E-002,-3.010014002888958E+001,
1.296460000000000E+010,-3.168948709243664E+001,-7.692474689911728E-002,-7.451888815931804E-002,-3.023777281738439E+001,
1.308455000000000E+010,-3.030974875836107E+001,-6.482572302331496E-002,-6.719562643251875E-002,-3.130625107308144E+001,
1.320450000000000E+010,-2.892647821850389E+001,-6.959365026628031E-002,-8.176933057504353E-002,-3.207994002533111E+001,
1.332445000000000E+010,-2.866478438607053E+001,-7.192974465214617E-002,-9.069273388153612E-002,-3.300508606890325E+001,
1.344440000000000E+010,-2.954017553364508E+001,-7.597149532728290E-002,-9.307823833856452E-002,-3.263388115393531E+001,
1.356435000000000E+010,-3.003293440587489E+001,-9.180718145259863E-002,-1.227256821297470E-001,-3.169044812453635E+001,
1.368430000000000E+010,-3.211817104026081E+001,-9.577675820806510E-002,-1.144249251165872E-001,-3.127147021799945E+001,
1.380425000000000E+010,-3.559664909330538E+001,-1.030857611707212E-001,-1.112189213357849E-001,-3.045894789620132E+001,
1.392420000000000E+010,-4.248149870985768E+001,-8.655560962432568E-002,-9.400566607364412E-002,-3.024843062167783E+001,
1.404415000000000E+010,-4.090314998634063E+001,-7.914132456321740E-002,-8.583165992701079E-002,-3.006550938802200E+001,
1.416410000000000E+010,-3.570571103608564E+001,-8.842677003819582E-002,-7.846544098388811E-002,-3.080336684264286E+001,
1.428405000000000E+010,-3.185421818745450E+001,-9.138964929758420E-002,-7.008759476278290E-002,-3.127185640380188E+001,
1.440400000000000E+010,-3.088857904102761E+001,-8.961343021264714E-002,-9.124406257326073E-002,-3.204562777915441E+001,
1.452395000000000E+010,-2.957765945617908E+001,-8.742536785785315E-002,-1.033668502751719E-001,-3.213957150863550E+001,
1.464390000000000E+010,-2.895615540061575E+001,-1.005268293309854E-001,-1.003142066941653E-001,-3.215672326357713E+001,
1.476385000000000E+010,-2.929268905908041E+001,-1.038235266685948E-001,-1.227725478755830E-001,-3.211973834078012E+001,
1.488380000000000E+010,-3.002490907016111E+001,-8.379278962025749E-002,-1.005752580581622E-001,-3.124051141168936E+001,
1.500375000000000E+010,-3.178380984146795E+001,-7.654351603480016E-002,-1.022212501002325E-001,-3.113771179242171E+001,
1.512370000000000E+010,-3.289652800429133E+001,-5.785305035563126E-002,-1.204193604811002E-001,-3.045262009107610E+001,
1.524365000000000E+010,-3.652650597625262E+001,-6.859337796738305E-002,-8.506986081385756E-002,-3.041901733963852E+001,
1.536360000000000E+010,-3.839251290831705E+001,-6.695823744419394E-002,-9.146862362967780E-002,-3.049231306186583E+001,
1.548355000000000E+010,-3.580027553204862E+001,-8.783811547118417E-002,-9.705195839892988E-002,-2.983080330122784E+001,
1.560350000000000E+010,-3.232364807631600E+001,-9.537205505022062E-002,-8.574106862278189E-002,-3.098315639087872E+001,
1.572345000000000E+010,-2.923912065306781E+001,-1.177534698556872E-001,-9.550797806002612E-002,-3.135707721227423E+001,
1.584340000000000E+010,-2.812450008225504E+001,-1.144846336331609E-001,-6.945202132866100E-002,-3.219374867864191E+001,
1.596335000000000E+010,-2.691489352298946E+001,-1.035933964859754E-001,-4.150098761008471E-002,-3.244604895334877E+001,
1.608330000000000E+010,-2.773250615127655E+001,-1.082605815308728E-001,-4.774415864504994E-002,-3.302733442715101E+001,
1.620325000000000E+010,-2.924938352970575E+001,-1.043744234917278E-001,-1.913796995638715E-002,-3.340947885269871E+001,
1.632320000000000E+010,-2.966736263565685E+001,-1.180243456138173E-001,-1.124427114361748E-002,-3.308733564677624E+001,
1.644315000000000E+010,-3.114190574712965E+001,-1.383923865468152E-001,-2.771766206849415E-002,-3.435067155523731E+001,
1.656310000000000E+010,-3.147375394642733E+001,-1.544994370973864E-001,-5.301830030006886E-002,-3.488374897407238E+001,
1.668305000000000E+010,-3.257330851789450E+001,-1.325881977324332E-001,-8.834874791767933E-002,-3.441817837949225E+001,
1.680300000000000E+010,-3.365999256197731E+001,-1.109042197951871E-001,-9.848788007053497E-002,-3.492574354818730E+001,
