% Version 1.00
%
%freq[Hz],Trc1_S11[dB],Trc2_S21[dB],Trc3_S12[dB],Trc4_S22[dB],
1.000000000000000E+007,-4.320735542368609E-001,-4.875676468284375E+001,-6.495492393016933E+001,-5.663497602957941E-001,
1.299500000000000E+008,2.540861086962465E-002,-5.274509735933986E+001,-5.326621563289989E+001,-1.691846708601222E-002,
2.499000000000000E+008,-3.595957134682594E-002,-4.783912218949038E+001,-4.764210528350932E+001,-6.200596192315701E-002,
3.698500000000000E+008,-5.814153552947147E-002,-4.462747752631405E+001,-4.413976937659375E+001,-4.781895852341279E-002,
4.898000000000000E+008,-5.941476439944536E-002,-4.185362768020601E+001,-4.181716979358256E+001,-3.760974714608670E-002,
6.097500000000000E+008,-5.445060520452585E-002,-4.014414455314830E+001,-3.985827189581534E+001,-4.213833492618107E-002,
7.297000000000000E+008,-6.384441898198007E-002,-3.827458758795879E+001,-3.815818353020968E+001,-4.089439130956757E-002,
8.496500000000000E+008,-6.383587347163107E-002,-3.676130234939313E+001,-3.679657077206113E+001,-3.457868828210772E-002,
9.696000000000000E+008,-5.095366789660027E-002,-3.546781951184431E+001,-3.534333384373721E+001,-3.084025272829149E-002,
1.089550000000000E+009,-6.823618280558252E-002,-3.427380615683220E+001,-3.424361705655542E+001,-5.964031008147921E-002,
1.209500000000000E+009,-8.050894803096151E-002,-3.310460285088741E+001,-3.311734744035326E+001,-8.314519339573549E-002,
1.329450000000000E+009,-9.672730475227490E-002,-3.207737281698660E+001,-3.206870854687864E+001,-1.094836580366501E-001,
1.449400000000000E+009,-1.053977230802759E-001,-3.120829599035870E+001,-3.113617894141640E+001,-1.378833327404434E-001,
1.569350000000000E+009,-1.112976090744095E-001,-3.031779491065986E+001,-3.030811026105553E+001,-1.680332997054801E-001,
1.689300000000000E+009,-1.213515915575282E-001,-2.952412223952958E+001,-2.946647399521543E+001,-1.790717994392004E-001,
1.809250000000000E+009,-1.250739876224990E-001,-2.872119125778513E+001,-2.870581023936258E+001,-1.831991512222701E-001,
1.929200000000000E+009,-1.202479267043185E-001,-2.798723580597039E+001,-2.799336735591026E+001,-1.702382270344458E-001,
2.049150000000000E+009,-1.002491313712293E-001,-2.730907229060110E+001,-2.730379582420080E+001,-1.571004611673268E-001,
2.169100000000000E+009,-8.140178221114189E-002,-2.670386309967519E+001,-2.666579904632457E+001,-1.411420203952181E-001,
2.289050000000000E+009,-7.305624995325857E-002,-2.614034152635769E+001,-2.610177722801734E+001,-1.254551685383251E-001,
2.409000000000000E+009,-6.484889634630646E-002,-2.558754349451370E+001,-2.554542511682019E+001,-1.326062393188424E-001,
2.528950000000000E+009,-5.086304051416234E-002,-2.503655878328593E+001,-2.503354509826617E+001,-1.316327694871538E-001,
2.648900000000000E+009,-7.224572612336107E-002,-2.453926265726522E+001,-2.457661142579289E+001,-1.473961220855265E-001,
2.768850000000000E+009,-1.034825408410173E-001,-2.407863846515762E+001,-2.411870091441283E+001,-1.746292552669375E-001,
2.888800000000000E+009,-1.358776669237690E-001,-2.365679510616278E+001,-2.372086578184938E+001,-1.933856572908602E-001,
3.008750000000000E+009,-1.703186422109251E-001,-2.329558101379871E+001,-2.329336157292467E+001,-2.270730274566255E-001,
3.128700000000000E+009,-2.206096286963517E-001,-2.291215179841723E+001,-2.290403099427428E+001,-2.333841072531293E-001,
3.248650000000000E+009,-2.542136017416571E-001,-2.248071799685125E+001,-2.251608754192685E+001,-2.601148740060906E-001,
3.368600000000000E+009,-2.712421153676829E-001,-2.209668574630900E+001,-2.211835926246642E+001,-2.506813691039130E-001,
3.488550000000000E+009,-2.644418149227313E-001,-2.173409717639444E+001,-2.174155110032546E+001,-2.452973385575952E-001,
3.608500000000000E+009,-2.360804695784469E-001,-2.141761068794381E+001,-2.133634119854115E+001,-2.360042730393856E-001,
3.728450000000000E+009,-2.023149586243115E-001,-2.103180288421111E+001,-2.098329066226979E+001,-2.329925206572021E-001,
3.848400000000000E+009,-1.677775346715026E-001,-2.065769613928896E+001,-2.061927924007344E+001,-2.386353546126030E-001,
3.968350000000000E+009,-1.534008906385952E-001,-2.026280649205097E+001,-2.026237580279008E+001,-2.613147033975135E-001,
4.088300000000000E+009,-1.678317809486362E-001,-1.990568824036168E+001,-1.994558762898467E+001,-2.822718645342295E-001,
4.208250000000000E+009,-2.141504297812191E-001,-1.962910908720463E+001,-1.963195561094223E+001,-3.026982722794802E-001,
4.328200000000000E+009,-3.158070185749490E-001,-1.935849309514201E+001,-1.937238143734144E+001,-3.319073899667218E-001,
4.448150000000000E+009,-4.443286789736857E-001,-1.913076721829671E+001,-1.912350604110812E+001,-3.480859770244627E-001,
4.568100000000000E+009,-5.833577651043408E-001,-1.888200331179679E+001,-1.889184035161959E+001,-3.511148002083235E-001,
4.688050000000000E+009,-7.005735049625207E-001,-1.860076883375690E+001,-1.866858796867563E+001,-3.492446635805433E-001,
4.808000000000000E+009,-7.701281825724617E-001,-1.840081989199628E+001,-1.845116252974835E+001,-3.355481001237107E-001,
4.927950000000000E+009,-7.707438819735256E-001,-1.821773778636557E+001,-1.822661309995926E+001,-3.267989093499729E-001,
5.047900000000000E+009,-6.842836139274311E-001,-1.802605299705228E+001,-1.798269462012204E+001,-3.100477410574137E-001,
5.167850000000000E+009,-5.482775318676946E-001,-1.777312083785817E+001,-1.771360702280280E+001,-3.042619823502386E-001,
5.287800000000000E+009,-3.941625958184545E-001,-1.746245180344034E+001,-1.744219422814136E+001,-3.204508303696252E-001,
5.407750000000000E+009,-2.768805084423133E-001,-1.711629203916500E+001,-1.717227807255773E+001,-3.443726503814513E-001,
5.527700000000000E+009,-2.405806608391438E-001,-1.678652084932201E+001,-1.689163007736324E+001,-3.743500276807468E-001,
5.647650000000000E+009,-2.662926342907284E-001,-1.654293292761759E+001,-1.661370527445412E+001,-4.077291956154959E-001,
5.767600000000000E+009,-3.505073529285138E-001,-1.631442737185738E+001,-1.633165031904166E+001,-4.415392754127114E-001,
5.887550000000000E+009,-4.671554350677922E-001,-1.606234918030538E+001,-1.609675916211874E+001,-4.627250163270271E-001,
6.007500000000000E+009,-5.472415984318167E-001,-1.579780764131970E+001,-1.584140222561591E+001,-4.624554813606956E-001,
6.127450000000000E+009,-6.012147622578873E-001,-1.554150268097022E+001,-1.564323568778292E+001,-4.575192699392335E-001,
6.247400000000000E+009,-5.752300273012349E-001,-1.536153432278609E+001,-1.541639076597478E+001,-4.408550536163446E-001,
6.367350000000000E+009,-5.097141226927158E-001,-1.525975793251664E+001,-1.525013391915741E+001,-4.304517141734954E-001,
6.487300000000000E+009,-4.289399768797196E-001,-1.510431799232949E+001,-1.505638007204902E+001,-4.270396658456790E-001,
6.607250000000000E+009,-3.574935376248473E-001,-1.493147702907067E+001,-1.489057021136623E+001,-4.190621053853517E-001,
6.727200000000000E+009,-2.918762551410596E-001,-1.469000916500232E+001,-1.471341714008629E+001,-4.208104652780737E-001,
6.847150000000000E+009,-2.670466437257841E-001,-1.447807209702111E+001,-1.453625580210547E+001,-4.426038435478868E-001,
6.967100000000000E+009,-2.653936230780534E-001,-1.434896223066140E+001,-1.434751096702521E+001,-4.633325138033792E-001,
7.087050000000000E+009,-2.858677722235518E-001,-1.422967433225321E+001,-1.415455213256498E+001,-4.958089625116460E-001,
7.207000000000000E+009,-3.206599147097638E-001,-1.404403798091502E+001,-1.395561474747867E+001,-5.223668802324282E-001,
7.326950000000000E+009,-3.610498911746830E-001,-1.378161256989248E+001,-1.376940849895719E+001,-5.510051067191939E-001,
7.446900000000000E+009,-4.124874599279569E-001,-1.350879677853356E+001,-1.356827634545634E+001,-5.468996406094954E-001,
7.566850000000000E+009,-4.420040652184190E-001,-1.331478493562639E+001,-1.336454130805520E+001,-5.590842701447107E-001,
7.686800000000000E+009,-4.674608059660511E-001,-1.316182035226633E+001,-1.316285213192473E+001,-5.599088677030218E-001,
7.806750000000000E+009,-4.727021372879736E-001,-1.303956279076068E+001,-1.297586037717876E+001,-5.689202335314467E-001,
7.926700000000000E+009,-4.567305940147553E-001,-1.288960458119100E+001,-1.276550675043272E+001,-5.708108547986066E-001,
8.046650000000000E+009,-4.395072807850450E-001,-1.266614125625843E+001,-1.259697380884490E+001,-5.974098068052657E-001,
8.166600000000000E+009,-4.236483138271439E-001,-1.242863570630707E+001,-1.244041552315380E+001,-6.121665900394756E-001,
8.286550000000000E+009,-4.161895124766981E-001,-1.230124559948756E+001,-1.230812030194722E+001,-6.402991278754098E-001,
8.406500000000000E+009,-4.152353601741506E-001,-1.225429568234362E+001,-1.218032796804133E+001,-6.569241939456841E-001,
8.526450000000000E+009,-4.291731911317992E-001,-1.220993289361959E+001,-1.208557723660848E+001,-6.730164621244863E-001,
8.646400000000000E+009,-4.553166380103554E-001,-1.211671499596653E+001,-1.202731066114311E+001,-6.817529957300743E-001,
8.766350000000000E+009,-4.938859634666006E-001,-1.195863534815016E+001,-1.195958942850122E+001,-6.838372442187427E-001,
8.886300000000000E+009,-5.259047024241083E-001,-1.182866259183921E+001,-1.189050876408789E+001,-6.794376602429277E-001,
9.006250000000000E+009,-5.387917932203650E-001,-1.173383598278221E+001,-1.179411093497626E+001,-6.674658369490591E-001,
9.126200000000000E+009,-5.351874901199333E-001,-1.172522511799445E+001,-1.166776880202873E+001,-6.660280283111971E-001,
9.246150000000000E+009,-5.224329790506309E-001,-1.167262491134216E+001,-1.151818636438005E+001,-6.745210878143553E-001,
9.366100000000000E+009,-5.028340244963926E-001,-1.146481215409446E+001,-1.133702177260714E+001,-6.987931174871686E-001,
9.486050000000000E+009,-5.137268226365410E-001,-1.118847974705730E+001,-1.115015458581306E+001,-7.307915420025615E-001,
9.606000000000000E+009,-5.169268863720851E-001,-1.098184356378775E+001,-1.095189660814530E+001,-7.665129741821127E-001,
9.725950000000000E+009,-5.193711680798051E-001,-1.084957352550030E+001,-1.077227244709319E+001,-8.036676455181294E-001,
9.845900000000000E+009,-5.306215852347558E-001,-1.076123329301032E+001,-1.059502787177969E+001,-8.331946688660142E-001,
9.965850000000000E+009,-5.563003867542016E-001,-1.063663713163829E+001,-1.050183875894735E+001,-8.636337225405354E-001,
