% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
1.117350000000000E+009,4.926096889146287E+001,-2.113633123032619E+003,-8.054915070533752E-001,2.247425019741058E-001,
1.128900000000000E+009,-2.542902986577339E+003,-2.536233643740537E+003,-7.969844341278076E-001,2.594410479068756E-001,
1.140450000000000E+009,-3.970098677938838E+003,8.374415506853673E+001,-7.869214415550232E-001,2.867949008941650E-001,
1.152000000000000E+009,-5.627905678749558E+003,6.030187259248392E+003,-7.798067927360535E-001,3.226552009582520E-001,
1.163550000000000E+009,2.982891225454075E+002,7.349437493941697E+003,-7.354751825332642E-001,3.473522067070007E-001,
1.175100000000000E+009,1.638307067946210E+003,1.497432412755471E+003,-7.192466855049133E-001,3.635566830635071E-001,
1.186650000000000E+009,6.120341167788732E+003,-3.333774925037757E+002,-7.063775062561035E-001,3.699234724044800E-001,
1.198200000000000E+009,2.579550896663595E+003,-3.009843506260342E+003,-6.949042677879334E-001,3.896158039569855E-001,
1.209750000000000E+009,-3.126743782358103E+002,-3.082822636377194E+003,-6.884536743164063E-001,4.131079316139221E-001,
1.221300000000000E+009,-2.129764035096880E+003,-1.654609930606485E+003,-6.920558810234070E-001,4.419195055961609E-001,
1.232850000000000E+009,-4.780321759402128E+003,6.958915515177508E+002,-6.642854809761047E-001,4.669542610645294E-001,
1.244400000000000E+009,-1.543821297365096E+003,2.139540947276553E+003,-6.527809500694275E-001,5.008457303047180E-001,
1.255950000000000E+009,2.427379008980547E+002,1.474709106940814E+003,-6.245064139366150E-001,5.253135561943054E-001,
1.267500000000000E+009,3.240739140562515E+003,2.311074323480749E+003,-5.881007909774780E-001,5.361728668212891E-001,
1.279050000000000E+009,3.619890367360634E+003,-6.260486644147989E+002,-5.640045404434204E-001,5.436935424804688E-001,
1.290600000000000E+009,8.710587337437482E+002,-1.274279421721161E+003,-5.464618206024170E-001,5.532152056694031E-001,
1.302150000000000E+009,-3.841635776472806E+003,-1.771960300040120E+004,-5.377990007400513E-001,5.684335231781006E-001,
1.313700000000000E+009,-1.739527644597658E+003,-1.054295516938365E+003,-5.289827585220337E-001,5.919761657714844E-001,
1.325250000000000E+009,-2.883684457670985E+003,7.784203253302634E+002,-5.126312375068665E-001,6.194310188293457E-001,
1.336800000000000E+009,-2.196767647343406E+003,4.022167032966508E+003,-4.800534546375275E-001,6.356865763664246E-001,
1.348350000000000E+009,8.827742481329042E+002,2.850902734175017E+003,-4.463477730751038E-001,6.568545699119568E-001,
1.359900000000000E+009,1.335748815660552E+004,6.875815501921803E+003,-4.085606038570404E-001,6.598731279373169E-001,
1.371450000000000E+009,2.695799714270081E+003,-8.949023863113544E+002,-3.877072930335999E-001,6.591591238975525E-001,
1.383000000000000E+009,2.707104375598712E+003,-5.577228674801423E+003,-3.642006218433380E-001,6.568480134010315E-001,
1.394550000000000E+009,-1.283726162444617E+003,-3.465725782429191E+003,-3.579820990562439E-001,6.652279496192932E-001,
1.406100000000000E+009,-6.393090503646281E+003,-2.819193889945372E+003,-3.348162472248077E-001,6.816437244415283E-001,
1.417650000000000E+009,-2.394767613565274E+003,9.559578297228495E+002,-3.266037404537201E-001,6.979343295097351E-001,
1.429200000000000E+009,-1.158513111573697E+003,2.825303644243154E+003,-2.984805107116699E-001,7.208796143531799E-001,
1.440750000000000E+009,1.527643402825926E+003,3.485380683522772E+003,-2.491797208786011E-001,7.361385822296143E-001,
1.452300000000000E+009,2.422602629377861E+003,8.942618502516360E+002,-2.207244932651520E-001,7.388177514076233E-001,
1.463850000000000E+009,4.203321419887317E+003,-2.024375151816638E+003,-1.831042021512985E-001,7.260344028472900E-001,
1.475400000000000E+009,7.100252233434395E+002,-2.182374103589425E+003,-1.727858930826187E-001,7.226579785346985E-001,
1.486950000000000E+009,-1.025948228166856E+003,-1.921146242116048E+003,-1.516642272472382E-001,7.193376421928406E-001,
1.498500000000000E+009,-5.726212955990456E+003,-1.651747135510791E+003,-1.354014426469803E-001,7.224587798118591E-001,
1.510050000000000E+009,-8.868016191299590E+003,5.020759042542056E+003,-1.289959549903870E-001,7.300260663032532E-001,
1.521600000000000E+009,-1.165781650864095E+003,4.282285434952535E+003,-9.196080267429352E-002,7.506151199340820E-001,
1.533150000000000E+009,4.014089481807308E+003,6.961879453405627E+003,-5.743337795138359E-002,7.460848093032837E-001,
1.544700000000000E+009,2.443730125769615E+003,6.278590917954189E+002,-2.669890969991684E-002,7.392298579216003E-001,
1.556250000000000E+009,3.800347391750210E+003,-2.311182510246455E+003,1.104521937668324E-002,7.335032224655151E-001,
1.567800000000000E+009,1.835517303570724E+003,-8.356783376351024E+003,2.573404461145401E-002,7.271527647972107E-001,
1.579350000000000E+009,-1.011583480563038E+004,-1.498143041819586E+004,3.483070805668831E-002,7.134171724319458E-001,
1.590900000000000E+009,-5.914512585614113E+003,-1.003099394176251E+003,5.006119608879089E-002,7.230899333953857E-001,
1.602450000000000E+009,-5.346673033339621E+003,3.911890625687922E+003,7.700566947460175E-002,7.182422280311585E-001,
1.614000000000000E+009,-8.962475978991506E+003,6.100639362260352E+004,9.341169148683548E-002,7.286124825477600E-001,
1.625550000000000E+009,3.206539286775945E+003,4.202052693967236E+003,1.307645291090012E-001,7.252125740051270E-001,
1.637100000000000E+009,8.009052173447173E+003,9.609453471529575E+002,1.632406562566757E-001,7.131015658378601E-001,
1.648650000000000E+009,6.160292582976567E+003,-5.048340105052793E+003,1.974849700927734E-001,6.949349045753479E-001,
1.660200000000000E+009,6.444823748455008E+002,-8.604422904406873E+003,2.172307223081589E-001,6.830114722251892E-001,
1.671750000000000E+009,-4.613749165311189E+003,-5.067670192083097E+003,2.239715456962585E-001,6.688678264617920E-001,
1.683300000000000E+009,-2.702735169104096E+003,-7.656193717786381E+001,2.350207120180130E-001,6.555730104446411E-001,
1.694850000000000E+009,-2.124955122867379E+003,2.049600529112202E+003,2.560441493988037E-001,6.605389714241028E-001,
1.706400000000000E+009,-5.203604360109603E+001,4.311255372578827E+003,2.760365009307861E-001,6.508268713951111E-001,
1.717950000000000E+009,1.940535383464734E+003,1.962201727994873E+003,3.001447021961212E-001,6.519393920898438E-001,
1.729500000000000E+009,3.790147451063081E+003,-3.769452608575491E+001,3.329953253269196E-001,6.297987103462219E-001,
1.741050000000000E+009,3.251931619874865E+003,-3.470738536821247E+003,3.544473350048065E-001,6.143440008163452E-001,
1.752600000000000E+009,-1.177442745137597E+002,-1.970577801316933E+003,3.734880685806274E-001,5.948871970176697E-001,
1.764150000000000E+009,-4.368651387707898E+003,-3.615559667076023E+003,3.852742612361908E-001,5.712624788284302E-001,
1.775700000000000E+009,-3.402458218581210E+003,4.064310611036819E+002,4.022313058376312E-001,5.573130249977112E-001,
1.787250000000000E+009,-1.920728663066293E+003,2.502912752254331E+003,4.149238169193268E-001,5.438262224197388E-001,
