% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
1.163550000000000E+009,4.671753794820290E+002,7.513291952912406E+003,-7.278395295143127E-001,3.520864844322205E-001,
1.175100000000000E+009,1.708118803777835E+003,1.486700428402327E+003,-7.047957777976990E-001,3.690124452114105E-001,
1.186650000000000E+009,6.241119671373060E+003,-5.433079068883922E+002,-6.880473494529724E-001,3.852533102035523E-001,
1.198200000000000E+009,2.520050724086249E+003,-3.154522653178350E+003,-6.806465387344360E-001,3.991096913814545E-001,
1.209750000000000E+009,-4.109993714757818E+002,-3.106380260134402E+003,-6.688958406448364E-001,4.085172116756439E-001,
1.221300000000000E+009,-2.171727412390721E+003,-1.623992862095726E+003,-6.647732853889465E-001,4.338160753250122E-001,
1.232850000000000E+009,-4.810894998158632E+003,7.624200295015082E+002,-6.545667052268982E-001,4.623563289642334E-001,
1.244400000000000E+009,-1.546862851177291E+003,2.187895240410100E+003,-6.302738785743713E-001,4.938713610172272E-001,
1.255950000000000E+009,2.658799482086669E+002,1.498489927451763E+003,-6.024811863899231E-001,5.165745019912720E-001,
1.267500000000000E+009,3.372769420069312E+003,2.311510488484984E+003,-5.757445693016052E-001,5.390148162841797E-001,
1.279050000000000E+009,3.681012072571178E+003,-7.427817210096462E+002,-5.453407168388367E-001,5.416303873062134E-001,
1.290600000000000E+009,8.489633783873600E+002,-1.322127004988569E+003,-5.310888290405273E-001,5.499935150146484E-001,
1.302150000000000E+009,-4.386625103878766E+003,-1.782880528513251E+004,-5.241284370422363E-001,5.619921684265137E-001,
1.313700000000000E+009,-1.768656977660432E+003,-1.025473793010496E+003,-5.114032626152039E-001,5.811476707458496E-001,
1.325250000000000E+009,-2.883895075122869E+003,8.181138365955064E+002,-4.901557266712189E-001,6.022358536720276E-001,
1.336800000000000E+009,-2.197837271484066E+003,4.102768213412206E+003,-4.701362252235413E-001,6.342519521713257E-001,
1.348350000000000E+009,9.367628381746984E+002,2.910262381509632E+003,-4.381488263607025E-001,6.493692398071289E-001,
1.359900000000000E+009,1.383177196280894E+004,6.801947293976630E+003,-3.968745470046997E-001,6.571415066719055E-001,
1.371450000000000E+009,2.731836309203186E+003,-9.953193479823462E+002,-3.660801053047180E-001,6.592723727226257E-001,
1.383000000000000E+009,2.558363009425562E+003,-5.758864898701324E+003,-3.479648530483246E-001,6.522104740142822E-001,
1.394550000000000E+009,-1.415318414725139E+003,-3.438415396952884E+003,-3.335191905498505E-001,6.539040803909302E-001,
1.406100000000000E+009,-6.441151362488300E+003,-2.641148051384880E+003,-3.281333148479462E-001,6.637744307518005E-001,
1.417650000000000E+009,-2.378523815086964E+003,9.976561862795721E+002,-3.097037076950073E-001,6.849542856216431E-001,
1.429200000000000E+009,-1.127541102886838E+003,2.864746763372610E+003,-2.807573676109314E-001,7.068877816200256E-001,
1.440750000000000E+009,1.582810030015211E+003,3.516271245183358E+003,-2.486952394247055E-001,7.218353748321533E-001,
1.452300000000000E+009,2.489922082978033E+003,8.765845580548136E+002,-2.128803879022598E-001,7.252125740051270E-001,
1.463850000000000E+009,4.263960780214791E+003,-2.187223532020052E+003,-1.772969812154770E-001,7.220660448074341E-001,
1.475400000000000E+009,6.496648351569407E+002,-2.258225138172090E+003,-1.584585756063461E-001,7.147144079208374E-001,
1.486950000000000E+009,-1.098623955278464E+003,-1.897143582516156E+003,-1.414246857166290E-001,7.097139358520508E-001,
1.498500000000000E+009,-5.766379081693862E+003,-1.464724683645299E+003,-1.280945837497711E-001,7.140939831733704E-001,
1.510050000000000E+009,-8.706362343310655E+003,5.204163616520787E+003,-1.119864583015442E-001,7.162293195724487E-001,
1.521600000000000E+009,-1.113616965951756E+003,4.316022058275140E+003,-8.391460031270981E-002,7.332840561866760E-001,
1.533150000000000E+009,4.157375004938506E+003,7.005131463952813E+003,-5.031453818082809E-002,7.458546161651611E-001,
1.544700000000000E+009,2.499211906286442E+003,5.973708358331636E+002,-1.691771484911442E-002,7.350813150405884E-001,
1.556250000000000E+009,3.813220927542387E+003,-2.485795920784687E+003,1.684460975229740E-002,7.254806756973267E-001,
1.567800000000000E+009,1.530322141564459E+003,-8.527600492045647E+003,3.318144381046295E-002,7.083249092102051E-001,
1.579350000000000E+009,-1.080175052364235E+004,-1.467888817291548E+004,4.471671581268311E-002,6.989508867263794E-001,
1.590900000000000E+009,-5.946557360863969E+003,-7.909806238840820E+002,6.491136550903320E-002,7.003092169761658E-001,
1.602450000000000E+009,-5.257994876414503E+003,4.021481396313147E+003,7.685746997594833E-002,7.069476246833801E-001,
1.614000000000000E+009,-7.780804090661113E+003,6.117049687002443E+004,1.029896065592766E-001,7.045562267303467E-001,
1.625550000000000E+009,3.292922410126255E+003,4.209467786878753E+003,1.318524926900864E-001,7.085591554641724E-001,
1.637100000000000E+009,8.135947948003612E+003,8.666595344113124E+002,1.648349463939667E-001,6.986041069030762E-001,
1.648650000000000E+009,6.160461746772098E+003,-5.288960094972767E+003,1.954224258661270E-001,6.833837032318115E-001,
1.660200000000000E+009,3.549932477042484E+002,-8.753632434824085E+003,2.162794172763825E-001,6.679467558860779E-001,
1.671750000000000E+009,-4.850769943042396E+003,-4.961919614012604E+003,2.332495748996735E-001,6.561011075973511E-001,
1.683300000000000E+009,-2.706422850776848E+003,2.640190521942392E+001,2.432234436273575E-001,6.450280547142029E-001,
1.694850000000000E+009,-2.056031723956167E+003,2.092460273501863E+003,2.589161992073059E-001,6.349620223045349E-001,
1.706400000000000E+009,5.913679786855554E+000,4.290804895014632E+003,2.716742753982544E-001,6.343398094177246E-001,
1.717950000000000E+009,1.971536795803361E+003,1.947564280185396E+003,3.054372966289520E-001,6.318255066871643E-001,
1.729500000000000E+009,3.825801170443495E+003,-7.572214021859874E+001,3.262395262718201E-001,6.202845573425293E-001,
1.741050000000000E+009,3.226747075445787E+003,-3.595065667092467E+003,3.550086021423340E-001,5.970342755317688E-001,
1.752600000000000E+009,-1.776452317952055E+002,-1.999650402313019E+003,3.724676072597504E-001,5.784803032875061E-001,
1.764150000000000E+009,-4.530032428021911E+003,-3.492936447841622E+003,3.895554840564728E-001,5.581375956535339E-001,
1.775700000000000E+009,-3.384774308265284E+003,5.226117326249962E+002,4.024601876735687E-001,5.405474305152893E-001,
1.787250000000000E+009,-1.844001783251484E+003,2.538315183907880E+003,4.118924140930176E-001,5.311491489410400E-001,
1.798800000000000E+009,1.177090569075329E+003,7.977698595805807E+003,4.209054112434387E-001,5.155268907546997E-001,
1.810350000000000E+009,3.777176730412494E+003,2.881510165513847E+003,4.408240616321564E-001,5.065652132034302E-001,
1.821900000000000E+009,2.374217413612670E+003,-3.187142309604475E+002,4.561422467231751E-001,4.945369362831116E-001,
1.833450000000000E+009,4.283804235518753E+003,-5.913928372860595E+003,4.806971251964569E-001,4.760970771312714E-001,
1.845000000000000E+009,-1.985719828579577E+003,-9.680642456562540E+003,4.983887076377869E-001,4.520405530929565E-001,
1.856550000000000E+009,-2.049724442341019E+003,-1.230490453472860E+003,5.075420141220093E-001,4.329857826232910E-001,
1.868100000000000E+009,-4.832493819273006E+003,1.395710303183802E+003,5.154358148574829E-001,4.091771543025971E-001,
1.879650000000000E+009,-1.540947614590132E+003,2.933261552612456E+003,5.268018245697022E-001,3.927222192287445E-001,
1.891200000000000E+009,4.320283583245916E+003,1.422861186558950E+004,5.294070839881897E-001,3.742673099040985E-001,
1.902750000000000E+009,4.769397970002739E+003,2.645120977095067E+003,5.355273485183716E-001,3.615691065788269E-001,
1.914300000000000E+009,2.081845184953248E+003,-5.738346561485058E+002,5.522322058677673E-001,3.507245779037476E-001,
1.925850000000000E+009,1.469109111340924E+003,-2.663552368809438E+003,5.641500353813171E-001,3.356234729290009E-001,
