% Version 1.00
%
%freq[Hz],re:Trc1_b2d1/a1d1sam,im:Trc1_b2d1/a1d1sam,re:Trc2_S21,im:Trc2_S21,
1.729500000000000E+009,3.713720718888628E+003,-1.445581417221711E+002,3.397635817527771E-001,6.124756336212158E-001,
1.741050000000000E+009,3.090276392769200E+003,-3.445236579155607E+003,3.588513731956482E-001,5.956087112426758E-001,
1.752600000000000E+009,-1.312363290998756E+002,-1.907912277212336E+003,3.730196058750153E-001,5.764439105987549E-001,
1.764150000000000E+009,-4.257086206919986E+003,-3.531430035442144E+003,3.826052248477936E-001,5.531261563301086E-001,
1.775700000000000E+009,-3.365445119203528E+003,3.895571931819066E+002,3.994349241256714E-001,5.445356965065002E-001,
1.787250000000000E+009,-1.912802574898764E+003,2.498905963512211E+003,4.120790362358093E-001,5.318149924278259E-001,
1.798800000000000E+009,1.167583340920784E+003,8.037789912931190E+003,4.267966151237488E-001,5.226557254791260E-001,
1.810350000000000E+009,3.792665098337785E+003,2.824397015106981E+003,4.488561153411865E-001,5.141893029212952E-001,
1.821900000000000E+009,2.310527185160766E+003,-3.539340841927546E+002,4.730865657329559E-001,4.966917634010315E-001,
1.833450000000000E+009,4.069083778827942E+003,-5.694205239751535E+003,4.798210561275482E-001,4.808194935321808E-001,
1.845000000000000E+009,-1.723587640070584E+003,-9.296098626059355E+003,4.978843331336975E-001,4.516900181770325E-001,
1.856550000000000E+009,-1.921102395866285E+003,-1.239688276380968E+003,5.061051249504089E-001,4.282945394515991E-001,
1.868100000000000E+009,-4.811883634180611E+003,1.194824741637578E+003,5.200390815734863E-001,4.146476089954376E-001,
1.879650000000000E+009,-1.623969339013445E+003,2.873509921600325E+003,5.187273621559143E-001,3.969133198261261E-001,
1.891200000000000E+009,4.183236709554254E+003,1.436575999030949E+004,5.380550622940064E-001,3.815962672233582E-001,
1.902750000000000E+009,4.792056186447245E+003,2.605089974287246E+003,5.482418537139893E-001,3.598891198635101E-001,
1.914300000000000E+009,2.031359342436000E+003,-6.008144798373048E+002,5.608918666839600E-001,3.551898598670960E-001,
1.925850000000000E+009,1.381227539254171E+003,-2.597625408607932E+003,5.821999311447144E-001,3.301794826984406E-001,
1.937400000000000E+009,-6.933730237165451E+002,-2.148900198212873E+003,5.928345322608948E-001,3.051705956459045E-001,
1.948950000000000E+009,-2.348599723242653E+003,-1.148229968487616E+003,5.954816937446594E-001,2.803245186805725E-001,
1.960500000000000E+009,-2.776255964613673E+003,1.047191119372151E+003,5.959566831588745E-001,2.473944425582886E-001,
1.972050000000000E+009,-2.484096973577369E+003,5.977707147550872E+003,5.899113416671753E-001,2.369662225246429E-001,
1.983600000000000E+009,1.570719922766261E+003,3.547690325913643E+003,5.918527245521545E-001,2.185426950454712E-001,
1.995150000000000E+009,2.260278642254639E+003,8.557571502642220E+002,5.992522835731506E-001,2.058357000350952E-001,
2.006700000000000E+009,8.488085201081431E+003,-3.862635643423867E+003,6.097860932350159E-001,1.972880065441132E-001,
2.018250000000000E+009,8.447609869648588E+002,-2.280044024856925E+003,6.223759055137634E-001,1.727740317583084E-001,
2.029800000000000E+009,-1.362290159830877E+003,-2.878452831462344E+003,6.354317069053650E-001,1.461394578218460E-001,
2.041350000000000E+009,-1.932928530951378E+003,-6.423897228316482E+002,6.323598623275757E-001,1.148865744471550E-001,
2.052900000000000E+009,-1.688550283857565E+003,9.223656788671921E+002,6.359253525733948E-001,8.832329511642456E-002,
2.064450000000000E+009,-7.436160437210074E+002,2.870679251507193E+003,6.213713884353638E-001,6.230988353490830E-002,
2.076000000000000E+009,2.232977033976186E+003,3.614193401645742E+003,6.151641011238098E-001,4.942208155989647E-002,
2.087550000000000E+009,4.620480123154524E+003,1.126857970416326E+003,6.108477711677551E-001,4.199780896306038E-002,
2.099100000000000E+009,1.919216003373148E+003,-1.139005219144854E+003,6.162375807762146E-001,2.801528759300709E-002,
2.110650000000000E+009,4.881588007691278E+002,-1.840444746966279E+003,6.231783628463745E-001,6.122791208326817E-003,
2.122200000000000E+009,-2.224254620569402E+003,-3.716474233396296E+003,6.235881447792053E-001,-1.309268549084663E-002,
2.133750000000000E+009,-6.774813118094448E+003,-1.485893938305765E+003,6.284604668617249E-001,-5.040253326296806E-002,
2.145300000000000E+009,-1.999044012363079E+003,1.411229337272140E+003,6.088179945945740E-001,-8.036158978939056E-002,
2.156850000000000E+009,-2.156604293563870E+002,1.830215882093071E+003,5.974544882774353E-001,-9.185002744197846E-002,
2.168400000000000E+009,1.100089540586934E+003,1.278778225137164E+003,5.872825980186462E-001,-1.059754341840744E-001,
2.179950000000000E+009,9.854152648336061E+003,5.734109523490273E+002,5.807930231094360E-001,-1.134567111730576E-001,
2.191500000000000E+009,2.712093764460280E+003,-2.366796098454963E+003,5.781728625297546E-001,-1.225143969058991E-001,
2.203050000000000E+009,7.009193428512480E+002,-7.939924326414585E+003,5.877397060394287E-001,-1.404858231544495E-001,
2.214600000000000E+009,-5.107687790173287E+003,-6.288440281039714E+003,5.954678058624268E-001,-1.603195667266846E-001,
2.226150000000000E+009,-3.978678259453841E+003,-4.010393913480608E+002,5.858591198921204E-001,-1.955938041210175E-001,
2.237700000000000E+009,-1.460496214101902E+003,1.264488963107707E+003,5.717713236808777E-001,-2.264032959938049E-001,
2.249250000000000E+009,-1.116001267571654E+002,3.728809123525100E+003,5.465949177742004E-001,-2.417459338903427E-001,
2.260800000000000E+009,7.166578930865690E+003,6.998113617473025E+003,5.256269574165344E-001,-2.527217566967011E-001,
2.272350000000000E+009,2.713669674402918E+003,-9.978977146891459E+001,5.155239701271057E-001,-2.569890022277832E-001,
2.283900000000000E+009,2.509236638103352E+003,-2.713521985742645E+003,5.163839459419251E-001,-2.586356103420258E-001,
2.295450000000000E+009,-5.772363738028385E+001,-3.094652249930568E+003,5.202059745788574E-001,-2.693279981613159E-001,
2.307000000000000E+009,-3.835875654334998E+003,-3.746308280836604E+003,5.158993005752564E-001,-2.981765568256378E-001,
2.318550000000000E+009,-5.045246083825682E+003,1.225537427882573E+002,5.120021700859070E-001,-3.247148096561432E-001,
2.330100000000000E+009,-1.684479820139973E+003,1.893566452600724E+003,4.837381839752197E-001,-3.504266440868378E-001,
2.341650000000000E+009,2.283139792729569E+002,2.155547018471139E+003,4.621922075748444E-001,-3.635245859622955E-001,
2.353200000000000E+009,2.281680831828601E+003,1.671755083326028E+003,4.374481439590454E-001,-3.682764172554016E-001,
2.364750000000000E+009,1.939872584917513E+003,-3.515396382722096E+002,4.270269572734833E-001,-3.713921308517456E-001,
2.376300000000000E+009,1.472805694012930E+003,-2.118110755352451E+003,4.161858558654785E-001,-3.730870485305786E-001,
2.387850000000000E+009,-1.543007331870938E+003,-9.963192344657853E+003,4.158434569835663E-001,-3.880179226398468E-001,
2.399400000000000E+009,-4.507109766649966E+003,-3.443619439364284E+003,4.135954976081848E-001,-4.055520892143250E-001,
2.410950000000000E+009,-1.298881540119721E+004,1.720892585245191E+003,4.059916734695435E-001,-4.305868744850159E-001,
2.422500000000000E+009,-1.708202173353932E+003,2.353940664558637E+003,3.788908720016480E-001,-4.490534663200378E-001,
2.434050000000000E+009,5.745974276674330E+002,2.767547154082101E+003,3.468453884124756E-001,-4.622631371021271E-001,
2.445600000000000E+009,2.290737621860338E+003,1.329937246493747E+003,3.257843255996704E-001,-4.599100351333618E-001,
2.457150000000000E+009,2.397873748662873E+003,-7.420948208146781E+002,3.100903332233429E-001,-4.574202597141266E-001,
2.468700000000000E+009,2.392624341820672E+003,-4.716315836454922E+003,2.975894510746002E-001,-4.584335088729858E-001,
2.480250000000000E+009,-5.319918049819073E+002,-1.704170518708915E+003,2.991785705089569E-001,-4.599709808826447E-001,
2.491800000000000E+009,-1.051584630755388E+004,-5.792742223360496E+003,2.955732941627502E-001,-4.811314046382904E-001,
2.503350000000000E+009,-2.212141002830552E+003,6.713995328980033E+002,2.769011855125427E-001,-5.007950663566589E-001,
2.514900000000000E+009,-9.795601707642560E+002,1.924704824316410E+003,2.524124681949616E-001,-5.216479897499085E-001,
2.526450000000000E+009,1.328249298930570E+003,3.571510352490192E+003,2.197931110858917E-001,-5.259823203086853E-001,
2.538000000000000E+009,4.572939712251422E+003,1.810682735118856E+003,1.962444931268692E-001,-5.241773128509522E-001,
2.549550000000000E+009,1.494447899912202E+003,-7.131810140576426E+002,1.728163808584213E-001,-5.139269232749939E-001,
2.561100000000000E+009,3.885912925232904E+002,-1.155624696538483E+003,1.651101112365723E-001,-5.096304416656494E-001,
2.572650000000000E+009,-5.884808384777142E+002,-1.195060153258120E+003,1.585636138916016E-001,-5.143536329269409E-001,
2.584200000000000E+009,-2.326920497948793E+003,-8.315343011138345E+002,1.517709642648697E-001,-5.198525786399841E-001,
2.595750000000000E+009,-8.265011657936964E+003,3.784320383868422E+003,1.377524882555008E-001,-5.346334576606751E-001,
2.607300000000000E+009,-9.438191407748444E+002,2.683857253502200E+003,1.147890836000443E-001,-5.464369058609009E-001,
2.618850000000000E+009,6.889557011357015E+002,1.294674924367615E+003,8.361600339412689E-002,-5.455127954483032E-001,
2.630400000000000E+009,2.385959702387146E+003,6.163527000584400E+002,5.842924863100052E-002,-5.438107848167419E-001,
2.641950000000000E+009,6.753870869372630E+003,-4.374292526946453E+003,3.983367606997490E-002,-5.296401977539063E-001,
2.653500000000000E+009,1.160769943636138E+003,-5.702789102087231E+003,2.978761494159699E-002,-5.246573686599731E-001,
2.665050000000000E+009,-9.394548344778679E+002,-1.447991627051012E+003,2.594662271440029E-002,-5.206053853034973E-001,
2.676600000000000E+009,-1.606838988522751E+003,-3.781813536434826E+002,1.683047227561474E-002,-5.285813212394714E-001,
2.688150000000000E+009,-2.524295715816436E+003,1.513361959347415E+003,1.573346438817680E-003,-5.357457399368286E-001,
2.699700000000000E+009,-4.656222702388814E+002,1.935391448132471E+003,-2.155889570713043E-002,-5.440887212753296E-001,
2.711250000000000E+009,3.274713226317174E+003,4.909145318663050E+003,-5.585232749581337E-002,-5.468807816505432E-001,
2.722800000000000E+009,2.505732867489229E+003,3.575065287830071E+002,-8.342088758945465E-002,-5.311598777770996E-001,
