% Version 1.00
%
%time[s],re:Trc2_b2d1sam[V],im:Trc2_b2d1sam[V],
2.500000000000000E-003,1.294463608421817E-005,1.062752677825286E-005,
2.550000000000000E-003,3.415936521702338E-006,-3.837578417361603E-005,
2.600000000000000E-003,1.183979025243539E-006,9.351097735939583E-006,
2.650000000000000E-003,3.225312182979395E-006,-2.718288391304597E-005,
2.700000000000000E-003,-2.018150005285847E-005,2.244599831151264E-005,
2.750000000000000E-003,2.899756653941623E-005,-1.779498219113183E-005,
2.800000000000000E-003,1.058163297184441E-005,5.977512081836714E-006,
2.850000000000000E-003,-1.593061733237262E-005,-3.980970878666896E-005,
2.900000000000000E-003,-1.213066511567830E-005,-1.115213782545249E-005,
2.950000000000000E-003,8.513089599694449E-006,4.064693149982077E-006,
3.000000000000000E-003,-3.222335654373629E-006,-6.641799296910547E-006,
3.050000000000000E-003,3.094094748065683E-005,-7.804388362503662E-006,
3.100000000000000E-003,2.183905543498986E-005,6.852906750390696E-007,
3.150000000000000E-003,4.879787981022666E-006,-1.906811367715453E-005,
3.200000000000000E-003,9.303259441262834E-006,-1.035961511663406E-005,
3.250000000000000E-003,-1.749899550883341E-006,-6.600722909615300E-006,
3.300000000000000E-003,4.950574459289339E-006,-1.687051224350380E-005,
3.350000000000000E-003,-2.316934934582079E-005,2.207071669961354E-005,
3.400000000000000E-003,3.419595884886982E-006,1.070559846289526E-006,
3.450000000000000E-003,-9.103120180556524E-006,7.322474171823165E-006,
3.500000000000000E-003,-5.881020080483306E-006,1.227949785367695E-005,
3.550000000000000E-003,-2.169610114762528E-005,-8.725493031736333E-006,
3.600000000000000E-003,5.001209874948965E-007,1.424371176969089E-005,
3.650000000000000E-003,1.393879081107307E-005,2.126196030498540E-006,
3.700000000000000E-003,2.266593629128395E-005,-8.023664793807508E-006,
3.750000000000000E-003,-1.078165454785164E-005,1.426584897951235E-005,
3.800000000000000E-003,-7.884780792013951E-006,-2.230926092451912E-005,
3.850000000000000E-003,8.329839945082519E-006,-1.110022309330386E-005,
3.900000000000000E-003,5.324717651036743E-006,-3.556423187241198E-006,
3.950000000000000E-003,-1.223883830860492E-005,3.340559458913407E-006,
4.000000000000000E-003,1.320565819109027E-005,5.293809174981137E-006,
4.050000000000000E-003,-2.488311054873560E-005,-4.036205031669773E-006,
4.100000000000000E-003,3.797946862192569E-006,-6.467737712277576E-006,
4.150000000000000E-003,-2.347810049611701E-006,-3.234107153417339E-006,
4.200000000000001E-003,-4.763548420639596E-006,1.893081150588837E-006,
4.250000000000000E-003,-1.392594295061362E-005,3.495664308378623E-006,
4.300000000000000E-003,6.151470989022737E-006,-6.209382689532096E-007,
4.350000000000001E-003,-9.972555655266218E-006,1.236980894529806E-005,
4.400000000000000E-003,-3.728148917944788E-005,-1.044567281285777E-006,
4.450000000000000E-003,-8.935996749934191E-006,2.847757492149840E-005,
4.500000000000001E-003,-3.492252156364477E-006,1.298060534505869E-005,
4.550000000000000E-003,-1.602912778703117E-005,-8.860400517501744E-006,
4.600000000000000E-003,-4.017043168281125E-006,-3.057814862943240E-006,
4.650000000000001E-003,3.391563331184115E-005,1.562951992425912E-005,
4.700000000000000E-003,8.259725830894937E-007,-2.162713149828597E-005,
4.750000000000000E-003,5.200830955363990E-006,8.491569086959398E-006,
4.800000000000000E-003,-1.678295063823746E-005,9.642338263551096E-006,
4.850000000000000E-003,-5.006579443659467E-006,-5.160971330252546E-006,
4.900000000000000E-003,9.370700829066596E-006,-5.025550875864858E-006,
4.950000000000000E-003,8.253452280334922E-006,3.033552632330510E-005,
5.000000000000000E-003,-3.935382009574281E-006,3.112785875769369E-006,
