% Version 1.00
%
%time[s],re:Trc2_b2d1sam[V],im:Trc2_b2d1sam[V],
0.000000000000000E+000,3.590598665786121E-002,-1.673347682171609E-001,
5.000000000000000E-005,3.709672904739965E-002,-1.680408088597338E-001,
1.000000000000000E-004,3.742736704489237E-002,-1.678341149350708E-001,
1.500000000000000E-004,3.754498835206263E-002,-1.680046043141765E-001,
2.000000000000000E-004,3.720713250103765E-002,-1.679899518752971E-001,
2.500000000000000E-004,3.708878074534645E-002,-1.681391898122374E-001,
3.000000000000000E-004,3.766140897083674E-002,-1.680601600380812E-001,
3.500000000000000E-004,3.735707488728594E-002,-1.681563433736074E-001,
4.000000000000000E-004,3.748302065777444E-002,-1.680814708705945E-001,
4.500000000000000E-004,3.742437587699338E-002,-1.681797623110256E-001,
5.000000000000000E-004,3.740972755562787E-002,-1.681062106233978E-001,
5.500000000000000E-004,3.730255141170237E-002,-1.682865834425668E-001,
6.000000000000001E-004,3.745700769509672E-002,-1.681132900263122E-001,
6.500000000000001E-004,3.764768818893818E-002,-1.681189611609351E-001,
7.000000000000000E-004,3.739128227734964E-002,-1.681128296318030E-001,
7.500000000000000E-004,3.718557952773459E-002,-1.682143791016971E-001,
8.000000000000000E-004,3.752327688371976E-002,-1.682549836131493E-001,
8.500000000000001E-004,3.743100331750474E-002,-1.681359962464964E-001,
9.000000000000001E-004,3.747357901553036E-002,-1.681232550882325E-001,
9.500000000000000E-004,3.763047792335050E-002,-1.681667576862232E-001,
1.000000000000000E-003,4.783479937969523E-005,1.015588368717625E-004,
1.050000000000000E-003,-3.756928714184647E-006,2.123045286155887E-005,
1.100000000000000E-003,1.134739087610436E-005,3.638162857161804E-006,
1.150000000000000E-003,5.111706795872176E-006,1.075394798108369E-005,
1.200000000000000E-003,-4.878129984286882E-008,-8.025335244638638E-006,
1.250000000000000E-003,-9.689784139158331E-007,1.380033451172495E-005,
1.300000000000000E-003,-2.687332106509287E-006,-8.943039097730701E-006,
1.350000000000000E-003,1.757064270382704E-005,1.481857699399712E-007,
1.400000000000000E-003,-1.948432012954807E-005,8.646487815609374E-007,
1.450000000000000E-003,2.335564652876589E-006,-7.638999078161054E-006,
