Legend:

1-P =,Untitled... Process


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °F
0,4/5/2017,3:43:38 PM,76
1,4/5/2017,3:43:39 PM,76
2,4/5/2017,3:43:40 PM,76
3,4/5/2017,3:43:41 PM,76
4,4/5/2017,3:43:42 PM,76
5,4/5/2017,3:43:43 PM,76
6,4/5/2017,3:43:44 PM,76
7,4/5/2017,3:43:45 PM,76
8,4/5/2017,3:43:46 PM,76
9,4/5/2017,3:43:47 PM,76
10,4/5/2017,3:43:48 PM,76
11,4/5/2017,3:43:49 PM,76
12,4/5/2017,3:43:50 PM,76
13,4/5/2017,3:43:51 PM,76
14,4/5/2017,3:43:52 PM,76
15,4/5/2017,3:43:53 PM,76
16,4/5/2017,3:43:54 PM,76
17,4/5/2017,3:43:55 PM,76
18,4/5/2017,3:43:56 PM,76
19,4/5/2017,3:43:57 PM,76
20,4/5/2017,3:43:58 PM,76
21,4/5/2017,3:43:59 PM,76
22,4/5/2017,3:44:00 PM,76
23,4/5/2017,3:44:01 PM,76
24,4/5/2017,3:44:02 PM,76
25,4/5/2017,3:44:03 PM,76
26,4/5/2017,3:44:04 PM,76
27,4/5/2017,3:44:05 PM,76
28,4/5/2017,3:44:06 PM,76
29,4/5/2017,3:44:07 PM,76
30,4/5/2017,3:44:08 PM,76
31,4/5/2017,3:44:09 PM,76
32,4/5/2017,3:44:10 PM,76
33,4/5/2017,3:44:11 PM,76
34,4/5/2017,3:44:12 PM,76
35,4/5/2017,3:44:13 PM,76
36,4/5/2017,3:44:14 PM,76
37,4/5/2017,3:44:15 PM,76
38,4/5/2017,3:44:16 PM,76
39,4/5/2017,3:44:17 PM,76
40,4/5/2017,3:44:19 PM,76
41,4/5/2017,3:44:20 PM,76
42,4/5/2017,3:44:21 PM,76
43,4/5/2017,3:44:22 PM,76
44,4/5/2017,3:44:23 PM,76
45,4/5/2017,3:44:24 PM,76
46,4/5/2017,3:44:25 PM,76
47,4/5/2017,3:44:26 PM,76
48,4/5/2017,3:44:27 PM,76
49,4/5/2017,3:44:28 PM,76
50,4/5/2017,3:44:29 PM,76
51,4/5/2017,3:44:30 PM,76
52,4/5/2017,3:44:31 PM,76
53,4/5/2017,3:44:32 PM,76
54,4/5/2017,3:44:33 PM,76
55,4/5/2017,3:44:34 PM,76
56,4/5/2017,3:44:35 PM,76
57,4/5/2017,3:44:36 PM,76
58,4/5/2017,3:44:37 PM,76
