 >Target_shape 1
     816 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  0.50000  0.50000 0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
       394 0 19 -2 1 1 1
       395 0 19 -1 1 1 1
       396 0 19 0 1 1 1
       397 0 19 1 1 1 1
       398 0 19 2 1 1 1
       399 1 19 -3 1 1 1
       400 1 19 -2 1 1 1
       401 1 19 -1 1 1 1
       402 1 19 0 1 1 1
       403 1 19 1 1 1 1
       404 1 19 2 1 1 1
       405 2 19 -2 1 1 1
       406 2 19 -1 1 1 1
       407 2 19 0 1 1 1
       408 2 19 1 1 1 1
