 >Target_shape 1
     816 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  0.50000  0.50000 0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
       177 0 -17 -2 1 1 1
       178 0 -17 -1 1 1 1
       179 0 -17 0 1 1 1
       180 0 -17 1 1 1 1
       181 0 -17 2 1 1 1
       182 0 -17 3 1 1 1
       183 1 -17 -4 1 1 1
       184 1 -17 -3 1 1 1
       185 1 -17 -2 1 1 1
       186 1 -17 -1 1 1 1
       187 1 -17 0 1 1 1
       188 1 -17 1 1 1 1
       189 1 -17 2 1 1 1
       190 1 -17 3 1 1 1
       191 2 -17 -4 1 1 1
       192 2 -17 -3 1 1 1
       193 2 -17 -2 1 1 1
       194 2 -17 -1 1 1 1
       195 2 -17 0 1 1 1
       196 2 -17 1 1 1 1
       197 2 -17 2 1 1 1
       198 2 -17 3 1 1 1
       199 3 -17 -3 1 1 1
       200 3 -17 -2 1 1 1
       201 3 -17 -1 1 1 1
       202 3 -17 0 1 1 1
       203 3 -17 1 1 1 1
       204 3 -17 2 1 1 1
       205 -4 -16 -3 1 1 1
       206 -4 -16 -2 1 1 1
       207 -4 -16 -1 1 1 1
       208 -4 -16 0 1 1 1
       209 -4 -16 1 1 1 1
       210 -4 -16 2 1 1 1
       211 -3 -16 -4 1 1 1
       212 -3 -16 -3 1 1 1
       213 -3 -16 -2 1 1 1
       214 -3 -16 -1 1 1 1
       215 -3 -16 0 1 1 1
       216 -3 -16 1 1 1 1
       217 -3 -16 2 1 1 1
       218 -3 -16 3 1 1 1
       219 -2 -16 -4 1 1 1
       220 -2 -16 -3 1 1 1
       221 -2 -16 -2 1 1 1
       222 -2 -16 -1 1 1 1
       223 -2 -16 0 1 1 1
       224 -2 -16 1 1 1 1
       225 -2 -16 2 1 1 1
       226 -2 -16 3 1 1 1
       227 -1 -16 -4 1 1 1
       228 -1 -16 -3 1 1 1
       229 -1 -16 -2 1 1 1
       230 -1 -16 -1 1 1 1
       231 -1 -16 0 1 1 1
       232 -1 -16 1 1 1 1
       233 -1 -16 2 1 1 1
       234 -1 -16 3 1 1 1
       235 0 -16 -4 1 1 1
       236 0 -16 -3 1 1 1
       237 0 -16 -2 1 1 1
       238 0 -16 -1 1 1 1
       239 0 -16 0 1 1 1
       240 0 -16 1 1 1 1
       241 0 -16 2 1 1 1
       242 0 -16 3 1 1 1
       243 1 -16 -4 1 1 1
       244 1 -16 -3 1 1 1
       245 1 -16 -2 1 1 1
       246 1 -16 -1 1 1 1
       247 1 -16 0 1 1 1
       248 1 -16 1 1 1 1
       249 1 -16 2 1 1 1
       250 1 -16 3 1 1 1
       251 2 -16 -4 1 1 1
       252 2 -16 -3 1 1 1
       253 2 -16 -2 1 1 1
       254 2 -16 -1 1 1 1
       255 2 -16 0 1 1 1
       256 2 -16 1 1 1 1
       257 2 -16 2 1 1 1
       258 2 -16 3 1 1 1
       259 3 -16 -3 1 1 1
       260 3 -16 -2 1 1 1
       261 3 -16 -1 1 1 1
       262 3 -16 0 1 1 1
       263 3 -16 1 1 1 1
       264 3 -16 2 1 1 1
       265 -4 -15 -3 1 1 1
       266 -4 -15 -2 1 1 1
       267 -4 -15 -1 1 1 1
       268 -4 -15 0 1 1 1
       269 -4 -15 1 1 1 1
       270 -4 -15 2 1 1 1
       271 -3 -15 -4 1 1 1
       272 -3 -15 -3 1 1 1
       273 -3 -15 -2 1 1 1
       274 -3 -15 -1 1 1 1
       275 -3 -15 0 1 1 1
       276 -3 -15 1 1 1 1
       277 -3 -15 2 1 1 1
       278 -3 -15 3 1 1 1
       279 -2 -15 -4 1 1 1
       280 -2 -15 -3 1 1 1
       281 -2 -15 -2 1 1 1
       282 -2 -15 -1 1 1 1
       283 -2 -15 0 1 1 1
       284 -2 -15 1 1 1 1
       285 -2 -15 2 1 1 1
       286 -2 -15 3 1 1 1
       287 -1 -15 -4 1 1 1
       288 -1 -15 -3 1 1 1
       289 -1 -15 -2 1 1 1
       290 -1 -15 -1 1 1 1
       291 -1 -15 0 1 1 1
       292 -1 -15 1 1 1 1
       293 -1 -15 2 1 1 1
       294 -1 -15 3 1 1 1
       295 0 -15 -4 1 1 1
       296 0 -15 -3 1 1 1
       297 0 -15 -2 1 1 1
       298 0 -15 -1 1 1 1
       299 0 -15 0 1 1 1
       300 0 -15 1 1 1 1
       301 0 -15 2 1 1 1
       302 0 -15 3 1 1 1
       303 1 -15 -4 1 1 1
       304 1 -15 -3 1 1 1
       305 1 -15 -2 1 1 1
       306 1 -15 -1 1 1 1
       307 1 -15 0 1 1 1
       308 1 -15 1 1 1 1
       309 1 -15 2 1 1 1
       310 1 -15 3 1 1 1
       311 2 -15 -4 1 1 1
       312 2 -15 -3 1 1 1
       313 2 -15 -2 1 1 1
       314 2 -15 -1 1 1 1
       315 2 -15 0 1 1 1
       316 2 -15 1 1 1 1
       317 2 -15 2 1 1 1
       318 2 -15 3 1 1 1
       319 3 -15 -3 1 1 1
       320 3 -15 -2 1 1 1
       321 3 -15 -1 1 1 1
       322 3 -15 0 1 1 1
       323 3 -15 1 1 1 1
       324 3 -15 2 1 1 1
       325 -4 -14 -2 1 1 1
       326 -4 -14 -1 1 1 1
       327 -4 -14 0 1 1 1
       328 -4 -14 1 1 1 1
       329 -3 -14 -3 1 1 1
       330 -3 -14 -2 1 1 1
       331 -3 -14 -1 1 1 1
       332 -3 -14 0 1 1 1
       333 -3 -14 1 1 1 1
       334 -3 -14 2 1 1 1
       335 -2 -14 -4 1 1 1
       336 -2 -14 -3 1 1 1
       337 -2 -14 -2 1 1 1
       338 -2 -14 -1 1 1 1
       339 -2 -14 0 1 1 1
       340 -2 -14 1 1 1 1
       341 -2 -14 2 1 1 1
       342 -2 -14 3 1 1 1
       343 -1 -14 -4 1 1 1
       344 -1 -14 -3 1 1 1
       345 -1 -14 -2 1 1 1
       346 -1 -14 -1 1 1 1
       347 -1 -14 0 1 1 1
       348 -1 -14 1 1 1 1
       349 -1 -14 2 1 1 1
       350 -1 -14 3 1 1 1
       351 0 -14 -4 1 1 1
       352 0 -14 -3 1 1 1
       353 0 -14 -2 1 1 1
       354 0 -14 -1 1 1 1
       355 0 -14 0 1 1 1
       356 0 -14 1 1 1 1
       357 0 -14 2 1 1 1
       358 0 -14 3 1 1 1
       359 1 -14 -4 1 1 1
       360 1 -14 -3 1 1 1
       361 1 -14 -2 1 1 1
       362 1 -14 -1 1 1 1
       363 1 -14 0 1 1 1
       364 1 -14 1 1 1 1
       365 1 -14 2 1 1 1
       366 1 -14 3 1 1 1
       367 2 -14 -3 1 1 1
       368 2 -14 -2 1 1 1
       369 2 -14 -1 1 1 1
       370 2 -14 0 1 1 1
       371 2 -14 1 1 1 1
       372 2 -14 2 1 1 1
       373 3 -14 -2 1 1 1
       374 3 -14 -1 1 1 1
       375 3 -14 0 1 1 1
       376 3 -14 1 1 1 1
       377 -3 -13 -2 1 1 1
       378 -3 -13 -1 1 1 1
       379 -3 -13 0 1 1 1
       380 -3 -13 1 1 1 1
       381 -2 -13 -3 1 1 1
       382 -2 -13 -2 1 1 1
       383 -2 -13 -1 1 1 1
       384 -2 -13 0 1 1 1
       385 -2 -13 1 1 1 1
       386 -2 -13 2 1 1 1
       387 -1 -13 -3 1 1 1
       388 -1 -13 -2 1 1 1
       389 -1 -13 -1 1 1 1
       390 -1 -13 0 1 1 1
       391 -1 -13 1 1 1 1
       392 -1 -13 2 1 1 1
       393 0 -13 -3 1 1 1
       394 0 -13 -2 1 1 1
       395 0 -13 -1 1 1 1
       396 0 -13 0 1 1 1
       397 0 -13 1 1 1 1
       398 0 -13 2 1 1 1
       399 1 -13 -3 1 1 1
       400 1 -13 -2 1 1 1
       401 1 -13 -1 1 1 1
       402 1 -13 0 1 1 1
       403 1 -13 1 1 1 1
       404 1 -13 2 1 1 1
       405 2 -13 -2 1 1 1
       406 2 -13 -1 1 1 1
       407 2 -13 0 1 1 1
       408 2 -13 1 1 1 1
       1 -3 12 -2 1 1 1
       2 -3 12 -1 1 1 1
       3 -3 12 0 1 1 1
       4 -3 12 1 1 1 1
       5 -2 12 -3 1 1 1
       6 -2 12 -2 1 1 1
       7 -2 12 -1 1 1 1
       8 -2 12 0 1 1 1
       9 -2 12 1 1 1 1
       10 -2 12 2 1 1 1
       11 -1 12 -3 1 1 1
       12 -1 12 -2 1 1 1
       13 -1 12 -1 1 1 1
       14 -1 12 0 1 1 1
       15 -1 12 1 1 1 1
       16 -1 12 2 1 1 1
       17 0 12 -3 1 1 1
       18 0 12 -2 1 1 1
       19 0 12 -1 1 1 1
       20 0 12 0 1 1 1
       21 0 12 1 1 1 1
       22 0 12 2 1 1 1
       23 1 12 -3 1 1 1
       24 1 12 -2 1 1 1
       25 1 12 -1 1 1 1
       26 1 12 0 1 1 1
       27 1 12 1 1 1 1
       28 1 12 2 1 1 1
       29 2 12 -2 1 1 1
       30 2 12 -1 1 1 1
       31 2 12 0 1 1 1
       32 2 12 1 1 1 1
       33 -4 13 -2 1 1 1
       34 -4 13 -1 1 1 1
       35 -4 13 0 1 1 1
       36 -4 13 1 1 1 1
       37 -3 13 -3 1 1 1
       38 -3 13 -2 1 1 1
       39 -3 13 -1 1 1 1
       40 -3 13 0 1 1 1
       41 -3 13 1 1 1 1
       42 -3 13 2 1 1 1
       43 -2 13 -4 1 1 1
       44 -2 13 -3 1 1 1
       45 -2 13 -2 1 1 1
       46 -2 13 -1 1 1 1
       47 -2 13 0 1 1 1
       48 -2 13 1 1 1 1
       49 -2 13 2 1 1 1
       50 -2 13 3 1 1 1
       51 -1 13 -4 1 1 1
       52 -1 13 -3 1 1 1
       53 -1 13 -2 1 1 1
       54 -1 13 -1 1 1 1
       55 -1 13 0 1 1 1
